id,word,countsize,length,texts_aggregated,wcavg
1760,transmit,8,8,100,0.08
1761,tricky,25,6,100,0.25
1762,extended,27,8,100,0.27
1763,coincidence,40,11,100,0.4
1764,reference,40,9,100,0.4
1765,conventionally,7,14,100,0.07
1766,sacrament,13,9,100,0.13
1767,learned,105,7,100,1.05
1768,usage,56,5,100,0.56
1769,actual,55,6,100,0.55
1770,increase,26,8,100,0.26
1771,latest,11,6,100,0.11
1772,somewhat,85,8,100,0.85
1773,assign,10,6,100,0.1
1774,predictable,15,11,100,0.15
1775,hurrying,6,8,100,0.06
1776,house,83,5,100,0.83
1777,existence,215,9,100,2.15
1778,briefly,34,7,100,0.34
1779,entrenched,3,10,100,0.03
1780,stimulant,11,9,100,0.11
1781,starving,6,8,100,0.06
1782,utilize,9,7,100,0.09
1783,suddenly,156,8,100,1.56
1784,according,58,9,100,0.58
1785,capacity,49,8,100,0.49
1786,established,41,11,100,0.41
1787,conquest,52,8,100,0.52
1788,staggering,18,10,100,0.18
1789,phone,31,5,100,0.31
1790,send,50,4,100,0.5
1791,travel,115,6,100,1.15
1792,together,340,8,100,3.4
1793,specialized,9,11,100,0.09
1794,jacinth,4,7,100,0.04
1795,formal,38,6,100,0.38
1796,cognitive,57,9,100,0.57
1797,sing,49,4,100,0.49
1798,calling,65,7,100,0.65
1799,sharing,14,7,100,0.14
1800,hopeful,13,7,100,0.13
1801,unspeakable,44,11,100,0.44
1802,tibetan,42,7,100,0.42
1803,potential,111,9,100,1.11
1804,around,751,6,100,7.51
1805,begin,217,5,100,2.17
1806,river,85,5,100,0.85
1807,controlling,26,11,100,0.26
1808,store,31,5,100,0.31
1809,surrealism,13,10,100,0.13
1810,pseudo,24,6,100,0.24
1811,college,25,7,100,0.25
1812,entertain,36,9,100,0.36
1813,lore,12,4,100,0.12
1814,story,302,5,100,3.02
1815,chemical,183,8,100,1.83
1816,laws,101,4,100,1.01
1817,obviation,2,9,100,0.02
1818,magic,189,5,100,1.89
1819,independently,5,13,100,0.05
1820,keeping,43,7,100,0.43
1821,retraction,5,10,100,0.05
1822,peak,13,4,100,0.13
1823,imagination,326,11,100,3.26
1824,repeating,11,9,100,0.11
1825,sustained,18,9,100,0.18
1826,faster,130,6,100,1.3
1827,consider,32,8,100,0.32
1828,current,55,7,100,0.55
1829,loom,9,4,100,0.09
1830,spirits,34,7,100,0.34
1831,gaia,40,4,100,0.4
1832,extrapolate,19,11,100,0.19
1833,successful,54,10,100,0.54
1834,maintained,27,10,100,0.27
1835,asian,19,5,100,0.19
1836,spinning,28,8,100,0.28
1837,propagate,11,9,100,0.11
1838,unlike,13,6,100,0.13
1839,distillation,12,12,100,0.12
1840,establishment,42,13,100,0.42
1841,likely,53,6,100,0.53
1842,mysterious,82,10,100,0.82
1843,stress,54,6,100,0.54
1844,unthinkable,7,11,100,0.07
1845,uncharted,2,9,100,0.02
1846,phase,87,5,100,0.87
1847,mushroom,476,8,100,4.76
1848,existing,16,8,100,0.16
1849,dealing,65,7,100,0.65
1850,routine,4,7,100,0.04
1851,island,40,6,100,0.4
1852,headed,51,6,100,0.51
1853,awakened,4,8,100,0.04
1854,ahead,80,5,100,0.8
1855,game,156,4,100,1.56
1856,promising,10,9,100,0.1
1857,memory,118,6,100,1.18
1858,am,343,2,100,3.43
1859,ultimate,53,8,100,0.53
1860,socialism,14,9,100,0.14
1861,spiritual,135,9,100,1.35
1862,oh,247,2,100,2.47
1863,predictive,5,10,100,0.05
1864,board,34,5,100,0.34
1865,powerful,134,8,100,1.34
1866,weird,187,5,100,1.87
1867,warfare,21,7,100,0.21
1868,expert,9,6,100,0.09
1869,region,6,6,100,0.06
1870,plant,369,5,100,3.69
1871,series,117,6,100,1.17
1872,radiation,27,9,100,0.27
1873,eleven,9,6,100,0.09
1874,crew,9,4,100,0.09
1875,respected,13,9,100,0.13
1876,articulated,14,11,100,0.14
1877,unbelievable,8,12,100,0.08
1878,published,53,9,100,0.53
1879,interpretation,24,14,100,0.24
1880,sometime,19,8,100,0.19
1881,earth,363,5,100,3.63
1882,herbal,7,6,100,0.07
1883,described,80,9,100,0.8
1884,produce,98,7,100,0.98
1885,hypnotic,3,8,100,0.03
1886,value,78,5,100,0.78
1887,live,262,4,100,2.62
1888,ketamine,68,8,100,0.68
1889,topological,22,11,100,0.22
1890,anymore,34,7,100,0.34
1891,studied,59,7,100,0.59
1892,compressed,12,10,100,0.12
1893,late,158,4,100,1.58
1894,father,54,6,100,0.54
1895,playing,53,7,100,0.53
1896,conservation,26,12,100,0.26
1897,agenda,92,6,100,0.92
1898,fluctuating,9,11,100,0.09
1899,resource,30,8,100,0.3
1900,starship,14,8,100,0.14
1901,euclidian,2,9,100,0.02
1902,opportunity,92,11,100,0.92
1903,necessary,131,9,100,1.31
1904,act,160,3,100,1.6
1905,nanotechnology,16,14,100,0.16
1906,ready,52,5,100,0.52
1907,strange,203,7,100,2.03
1908,humor,18,5,100,0.18
1909,serious,56,7,100,0.56
1910,continuum,52,9,100,0.52
1911,numerically,4,11,100,0.04
1912,investigate,10,11,100,0.1
1913,twentieth,44,9,100,0.44
1914,floor,42,5,100,0.42
1915,leading,53,7,100,0.53
1916,trademark,2,9,100,0.02
1917,survival,36,8,100,0.36
1918,assumed,41,7,100,0.41
1919,reasonably,9,10,100,0.09
1920,presume,7,7,100,0.07
1921,simple,143,6,100,1.43
1922,sheldrake,35,9,100,0.35
1923,vindicated,4,10,100,0.04
1924,collection,15,10,100,0.15
1925,metaphorical,7,12,100,0.07
1926,tropics,39,7,100,0.39
1927,critical,38,8,100,0.38
1928,ability,163,7,100,1.63
1929,previous,75,8,100,0.75
1930,navigate,21,8,100,0.21
1931,front,111,5,100,1.11
1932,spiral,19,6,100,0.19
1933,eventually,128,10,100,1.28
1934,field,185,5,100,1.85
1935,institute,21,9,100,0.21
1936,pattern,125,7,100,1.25
1937,modeling,26,8,100,0.26
1938,mathematician,16,13,100,0.16
1939,discovered,195,10,100,1.95
1940,manifold,23,8,100,0.23
1941,half,235,4,100,2.35
1942,dark,87,4,100,0.87
1943,collecting,11,10,100,0.11
1944,impression,59,10,100,0.59
1945,effort,143,6,100,1.43
1946,nineties,4,8,100,0.04
1947,emerge,46,6,100,0.46
1948,frame,9,5,100,0.09
1949,cracking,3,8,100,0.03
1950,einstein,29,8,100,0.29
1951,archaic,157,7,100,1.57
1952,density,29,7,100,0.29
1953,land,118,4,100,1.18
1954,strings,7,7,100,0.07
1955,fifteen,59,7,100,0.59
1956,four,154,4,100,1.54
1957,eyesight,4,8,100,0.04
1958,drawl,4,5,100,0.04
1959,drawn,43,5,100,0.43
1960,protozoa,2,8,100,0.02
1961,needed,42,6,100,0.42
1962,success,49,7,100,0.49
1963,test,84,4,100,0.84
1964,rescue,11,6,100,0.11
1965,bibliography,6,12,100,0.06
1966,page,42,4,100,0.42
1967,evolutionary,194,12,100,1.94
1968,commanding,2,10,100,0.02
1969,art,334,3,100,3.34
1970,experimental,24,12,100,0.24
1971,interaction,26,11,100,0.26
1972,manned,2,6,100,0.02
1973,present,330,7,100,3.3
1974,finally,140,7,100,1.4
1975,version,56,7,100,0.56
1976,private,54,7,100,0.54
1977,reconcile,7,9,100,0.07
1978,profound,78,8,100,0.78
1979,correctly,41,9,100,0.41
1980,haven,139,5,100,1.39
1981,holographic,21,11,100,0.21
1982,mutual,9,6,100,0.09
1983,spirit,168,6,100,1.68
1984,show,203,4,100,2.03
1985,pack,38,4,100,0.38
1986,conserve,9,8,100,0.09
1987,freud,40,5,100,0.4
1988,nervous,62,7,100,0.62
1989,consideration,8,13,100,0.08
1990,collective,86,10,100,0.86
1991,shape,27,5,100,0.27
1992,psilocybin,640,10,100,6.4
1993,food,186,4,100,1.86
1994,contain,38,7,100,0.38
1995,hunting,116,7,100,1.16
1996,specific,44,8,100,0.44
1997,extraterrestrial,117,16,100,1.17
1998,girl,19,4,100,0.19
1999,psychic,91,7,100,0.91
2000,exempt,3,6,100,0.03
2001,neurotransmitter,18,16,100,0.18
2002,folk,34,4,100,0.34
2003,inventor,5,8,100,0.05
2004,realization,43,11,100,0.43
2005,negative,31,8,100,0.31
2006,bright,19,6,100,0.19
2007,ambiance,16,8,100,0.16
2008,spoke,40,5,100,0.4
2009,pedagogical,2,11,100,0.02
2010,texture,7,7,100,0.07
2011,zee,1,3,100,0.01
2012,stabilized,10,10,100,0.1
2013,usually,110,7,100,1.1
2014,conversation,44,12,100,0.44
2015,timelessness,1,12,100,0.01
2016,hallucinogen,99,12,100,0.99
2017,f,54,1,100,0.54
2018,c,63,1,100,0.63
2019,k,23,1,100,0.23
2020,broke,34,5,100,0.34
2021,z,6,1,100,0.06
2022,y,23,1,100,0.23
2023,x,32,1,100,0.32
2024,change,295,6,100,2.95
2025,tool,63,4,100,0.63
2026,cock,3,4,100,0.03
2027,uniqueness,30,10,100,0.3
2028,resist,16,6,100,0.16
2029,contemporaneous,2,15,100,0.02
2030,fewer,8,5,100,0.08
2031,ideological,42,11,100,0.42
2032,room,197,4,100,1.97
2033,emperor,29,7,100,0.29
2034,completely,261,10,100,2.61
2035,shepherd,3,8,100,0.03
2036,immemorial,1,10,100,0.01
2037,tall,11,4,100,0.11
2038,music,118,5,100,1.18
2039,depend,14,6,100,0.14
2040,pan,9,3,100,0.09
2041,syllable,2,8,100,0.02
2042,ding,2,4,100,0.02
2043,tremendous,136,10,100,1.36
2044,folks,76,5,100,0.76
2045,headache,4,8,100,0.04
2046,patience,9,8,100,0.09
2047,approaching,43,11,100,0.43
2048,brown,22,5,100,0.22
2049,prominent,3,9,100,0.03
2050,generalized,24,11,100,0.24
2051,reason,306,6,100,3.06
2052,strenuously,1,11,100,0.01
2053,folklore,13,8,100,0.13
2054,convey,27,6,100,0.27
2055,replication,2,11,100,0.02
2056,transfer,30,8,100,0.3
2057,subhuman,1,8,100,0.01
2058,job,62,3,100,0.62
2059,accomplishment,28,14,100,0.28
2060,abstraction,26,11,100,0.26
2061,recorded,13,8,100,0.13
2062,accident,19,8,100,0.19
2063,trivial,47,7,100,0.47
2064,eternity,80,8,100,0.8
2065,freezing,1,8,100,0.01
2066,short,124,5,100,1.24
2067,kept,76,4,100,0.76
2068,held,66,4,100,0.66
2069,greek,76,5,100,0.76
2070,motif,19,5,100,0.19
2071,okay,103,4,100,1.03
2072,judging,13,7,100,0.13
2073,pupil,1,5,100,0.01
2074,clue,42,4,100,0.42
2075,alien,240,5,100,2.4
2076,partially,10,9,100,0.1
2077,polite,6,6,100,0.06
2078,apply,30,5,100,0.3
2079,hip,6,3,100,0.06
2080,wonder,93,6,100,0.93
2081,copying,6,7,100,0.06
2082,cheerfully,7,10,100,0.07
2083,glossolalia,57,11,100,0.57
2084,glued,4,5,100,0.04
2085,clothed,3,7,100,0.03
2086,path,76,4,100,0.76
2087,reincarnation,12,13,100,0.12
2088,restroom,1,8,100,0.01
2089,naked,48,5,100,0.48
2090,challenging,22,11,100,0.22
2091,recitation,6,10,100,0.06
2092,limited,69,7,100,0.69
2093,ambiguity,30,9,100,0.3
2094,eyes,142,4,100,1.42
2095,yeah,324,4,100,3.24
2096,cheerful,13,8,100,0.13
2097,copy,16,4,100,0.16
2098,absurd,35,6,100,0.35
2099,rhodes,1,6,100,0.01
2100,bottom,63,6,100,0.63
2101,cheap,17,5,100,0.17
2102,eyed,27,4,100,0.27
2103,territory,21,9,100,0.21
2104,taxi,2,4,100,0.02
2105,likelihood,7,10,100,0.07
2106,separateness,6,12,100,0.06
2107,philosopher,61,11,100,0.61
2108,divide,19,6,100,0.19
2109,young,52,5,100,0.52
2110,narrow,46,6,100,0.46
2111,either,187,6,100,1.87
2112,insult,7,6,100,0.07
2113,historian,15,9,100,0.15
2114,reflect,19,7,100,0.19
2115,progress,64,8,100,0.64
2116,curious,93,7,100,0.93
2117,courtesy,2,8,100,0.02
2118,eon,2,3,100,0.02
2119,bell,27,4,100,0.27
2120,teacher,34,7,100,0.34
2121,reopen,1,6,100,0.01
2122,glinting,1,8,100,0.01
2123,chant,6,5,100,0.06
2124,completeness,5,12,100,0.05
2125,overlook,6,8,100,0.06
2126,inspire,7,7,100,0.07
2127,blake,40,5,100,0.4
2128,mistreat,2,8,100,0.02
2129,regular,8,7,100,0.08
2130,counter,28,7,100,0.28
2131,engineer,13,8,100,0.13
2132,unit,30,4,100,0.3
2133,seven,43,5,100,0.43
2134,genetic,96,7,100,0.96
2135,changing,75,8,100,0.75
2136,entirety,10,8,100,0.1
2137,birth,120,5,100,1.2
2138,focus,61,5,100,0.61
2139,singing,51,7,100,0.51
2140,tiring,2,6,100,0.02
2141,traveling,40,9,100,0.4
2142,stream,37,6,100,0.37
2143,mundane,51,7,100,0.51
2144,constantly,38,10,100,0.38
2145,mapping,27,7,100,0.27
2146,probably,492,8,100,4.92
2147,humanness,61,9,100,0.61
2148,return,168,6,100,1.68
2149,latent,3,6,100,0.03
2150,preserve,38,8,100,0.38
2151,resident,9,8,100,0.09
2152,function,82,8,100,0.82
2153,unambiguous,7,11,100,0.07
2154,gown,2,4,100,0.02
2155,sink,9,4,100,0.09
2156,sine,16,4,100,0.16
2157,representation,11,14,100,0.11
2158,diminutive,9,10,100,0.09
2159,immortality,23,11,100,0.23
2160,pool,25,4,100,0.25
2161,university,37,10,100,0.37
2162,beginning,202,9,100,2.02
2163,minutes,155,7,100,1.55
2164,incredible,85,10,100,0.85
2165,check,33,5,100,0.33
2166,greatest,50,8,100,0.5
2167,amuse,6,5,100,0.06
2168,architectural,13,13,100,0.13
2169,special,80,7,100,0.8
2170,purity,12,6,100,0.12
2171,accounting,6,10,100,0.06
2172,personality,75,11,100,0.75
2173,lesser,31,6,100,0.31
2174,camping,2,7,100,0.02
2175,thread,35,6,100,0.35
2176,socrates,5,8,100,0.05
2177,departed,3,8,100,0.03
2178,slow,49,4,100,0.49
2179,plato,65,5,100,0.65
2180,instant,21,7,100,0.21
2181,ain,20,3,100,0.2
2182,illusory,6,8,100,0.06
2183,gift,16,4,100,0.16
2184,six,121,3,100,1.21
2185,extraordinarily,31,15,100,0.31
2186,painting,37,8,100,0.37
2187,sit,109,3,100,1.09
2188,chemistry,114,9,100,1.14
2189,hellenistic,40,11,100,0.4
2190,dada,11,4,100,0.11
2191,precede,6,7,100,0.06
2192,stupid,33,6,100,0.33
2193,confusing,7,9,100,0.07
2194,lyre,1,4,100,0.01
2195,rarefied,6,8,100,0.06
2196,dead,115,4,100,1.15
2197,key,77,3,100,0.77
2198,unfinished,1,10,100,0.01
2199,daunting,3,8,100,0.03
2200,daba,3,4,100,0.03
2201,seeming,5,7,100,0.05
2202,roman,82,5,100,0.82
2203,odd,37,3,100,0.37
2204,thrive,4,6,100,0.04
2205,anticipated,18,11,100,0.18
2206,conventionality,1,15,100,0.01
2207,consensus,21,9,100,0.21
2208,understanding,313,13,100,3.13
2209,chosen,18,6,100,0.18
2210,fidelity,5,8,100,0.05
2211,parallel,56,8,100,0.56
2212,funny,64,5,100,0.64
2213,replicate,12,9,100,0.12
2214,approach,171,8,100,1.71
2215,accompany,4,9,100,0.04
2216,xenophon,1,8,100,0.01
2217,scorn,3,5,100,0.03
2218,automobile,9,10,100,0.09
2219,comradeship,1,11,100,0.01
2220,camouflage,6,10,100,0.06
2221,ukranian,1,8,100,0.01
2222,barrier,60,7,100,0.6
2223,convenience,12,11,100,0.12
2224,realm,146,5,100,1.46
2225,premises,9,8,100,0.09
2226,gab,1,3,100,0.01
2227,ring,28,4,100,0.28
2228,gene,82,4,100,0.82
2229,gas,18,3,100,0.18
2230,sculpture,18,9,100,0.18
2231,oppressive,5,10,100,0.05
2232,spreading,27,9,100,0.27
2233,operating,101,9,100,1.01
2234,aside,45,5,100,0.45
2235,unexpected,37,10,100,0.37
2236,inimical,10,8,100,0.1
2237,mm,15,2,100,0.15
2238,appreciation,15,12,100,0.15
2239,teaching,42,8,100,0.42
2240,account,38,7,100,0.38
2241,evanescence,1,11,100,0.01
2242,defeated,7,8,100,0.07
2243,sometimes,117,9,100,1.17
2244,chinese,46,7,100,0.46
2245,sky,58,3,100,0.58
2246,official,13,8,100,0.13
2247,credit,30,6,100,0.3
2248,returning,20,9,100,0.2
2249,doubt,76,5,100,0.76
2250,comparison,12,10,100,0.12
2251,mollusca,2,8,100,0.02
2252,homework,9,8,100,0.09
2253,la,46,2,100,0.46
2254,thin,28,4,100,0.28
2255,eastern,33,7,100,0.33
2256,tantric,18,7,100,0.18
2257,interchangeable,11,15,100,0.11
2258,spent,72,5,100,0.72
2259,wizened,3,7,100,0.03
2260,octopus,22,7,100,0.22
2261,slump,2,5,100,0.02
2262,breaking,54,8,100,0.54
2263,intelligent,99,11,100,0.99
2264,handle,43,6,100,0.43
2265,turning,74,7,100,0.74
2266,scientifically,7,14,100,0.07
2267,imposition,1,10,100,0.01
2268,attain,23,6,100,0.23
2269,content,59,7,100,0.59
2270,silent,54,6,100,0.54
2271,data,194,4,100,1.94
2272,sentence,17,8,100,0.17
2273,hardly,52,6,100,0.52
2274,date,91,4,100,0.91
2275,happy,49,5,100,0.49
2276,motor,6,5,100,0.06
2277,older,42,5,100,0.42
2278,campfire,8,8,100,0.08
2279,discourse,20,9,100,0.2
2280,mostly,24,6,100,0.24
2281,reef,12,4,100,0.12
2282,bradley,2,7,100,0.02
2283,imposed,14,7,100,0.14
2284,banana,7,6,100,0.07
2285,isle,2,4,100,0.02
2286,variable,23,8,100,0.23
2287,agree,62,5,100,0.62
2288,substitute,19,10,100,0.19
2289,round,21,5,100,0.21
2290,dearly,2,6,100,0.02
2291,tautological,2,12,100,0.02
2292,dare,23,4,100,0.23
2293,spontaneously,9,13,100,0.09
2294,metamorphosis,16,13,100,0.16
2295,logic,36,5,100,0.36
2296,toneless,1,8,100,0.01
2297,dumb,10,4,100,0.1
2298,individuality,16,13,100,0.16
2299,trace,32,5,100,0.32
2300,lama,10,4,100,0.1
2301,cadence,1,7,100,0.01
2302,comrade,2,7,100,0.02
2303,expect,55,6,100,0.55
2304,enlightenment,59,13,100,0.59
2305,fail,26,4,100,0.26
2306,watching,50,8,100,0.5
2307,undergo,35,7,100,0.35
2308,eyewitness,1,10,100,0.01
2309,sidebar,1,7,100,0.01
2310,aquarius,2,8,100,0.02
2311,hunger,4,6,100,0.04
2312,pleiades,4,8,100,0.04
2313,david,15,5,100,0.15
2314,melville,7,8,100,0.07
2315,hesitate,2,8,100,0.02
2316,launch,25,6,100,0.25
2317,separated,11,9,100,0.11
2318,mister,3,6,100,0.03
2319,stranger,43,8,100,0.43
2320,pulling,24,7,100,0.24
2321,contact,139,7,100,1.39
2322,mode,52,4,100,0.52
2323,india,67,5,100,0.67
2324,entertained,9,11,100,0.09
2325,figured,47,7,100,0.47
2326,speaker,18,7,100,0.18
2327,access,44,6,100,0.44
2328,suspended,16,9,100,0.16
2329,cloud,19,5,100,0.19
2330,ten,150,3,100,1.5
2331,astrology,33,9,100,0.33
2332,power,261,5,100,2.61
2333,philip,7,6,100,0.07
2334,proper,12,6,100,0.12
2335,intricately,2,11,100,0.02
2336,innate,7,6,100,0.07
2337,sunlight,10,8,100,0.1
2338,environment,234,11,100,2.34
2339,friend,127,6,100,1.27
2340,escargot,2,8,100,0.02
2341,informing,20,9,100,0.2
2342,object,285,6,100,2.85
2343,share,48,5,100,0.48
2344,scarcely,6,8,100,0.06
2345,timeless,5,8,100,0.05
2346,die,97,3,100,0.97
2347,dick,16,4,100,0.16
2348,thucydides,1,10,100,0.01
2349,localized,12,9,100,0.12
2350,repeatable,7,10,100,0.07
2351,summer,19,6,100,0.19
2352,disappear,26,9,100,0.26
2353,sally,4,5,100,0.04
2354,celebrity,5,9,100,0.05
2355,roll,52,4,100,0.52
2356,event,129,5,100,1.29
2357,nietzsche,4,9,100,0.04
2358,mania,8,5,100,0.08
2359,arthur,14,6,100,0.14
2360,comic,6,5,100,0.06
2361,undone,3,6,100,0.03
2362,meet,82,4,100,0.82
2363,associational,2,13,100,0.02
2364,exacerbate,2,10,100,0.02
2365,truck,5,5,100,0.05
2366,net,40,3,100,0.4
2367,commerce,17,8,100,0.17
2368,fantasy,38,7,100,0.38
2369,inquiry,9,7,100,0.09
2370,eighty,6,6,100,0.06
2371,rhetoric,19,8,100,0.19
2372,e,57,1,100,0.57
2373,b,76,1,100,0.76
2374,sobering,3,8,100,0.03
2375,consumerism,10,11,100,0.1
2376,l,26,1,100,0.26
2377,solar,49,5,100,0.49
2378,distill,3,7,100,0.03
2379,labor,18,5,100,0.18
2380,v,16,1,100,0.16
2381,brazil,5,6,100,0.05
2382,r,19,1,100,0.19
2383,library,38,7,100,0.38
2384,zone,35,4,100,0.35
2385,rehearsal,6,9,100,0.06
2386,suspend,2,7,100,0.02
2387,drop,41,4,100,0.41
2388,architecture,22,12,100,0.22
2389,surgery,16,7,100,0.16
2390,sized,7,5,100,0.07
2391,trapped,32,7,100,0.32
2392,medical,62,7,100,0.62
2393,basic,72,5,100,0.72
2394,inundate,2,8,100,0.02
2395,reputation,14,10,100,0.14
2396,automatic,10,9,100,0.1
2397,yesterday,51,9,100,0.51
2398,fan,16,3,100,0.16
2399,stutter,2,7,100,0.02
2400,zilch,3,5,100,0.03
2401,muck,5,4,100,0.05
2402,axle,1,4,100,0.01
2403,writ,14,4,100,0.14
2404,indicator,2,9,100,0.02
2405,resonant,10,8,100,0.1
2406,occasion,11,8,100,0.11
2407,rap,50,3,100,0.5
2408,perceived,35,9,100,0.35
2409,especially,74,10,100,0.74
2410,millisecond,4,11,100,0.04
2411,rational,87,8,100,0.87
2412,asia,33,4,100,0.33
2413,dominate,5,8,100,0.05
2414,mail,11,4,100,0.11
2415,landscaping,2,11,100,0.02
2416,inflated,6,8,100,0.06
2417,destiny,43,7,100,0.43
2418,gray,4,4,100,0.04
2419,breakout,6,8,100,0.06
2420,royal,8,5,100,0.08
2421,dense,21,5,100,0.21
2422,brewing,2,7,100,0.02
2423,peculiar,96,8,100,0.96
2424,deposit,4,7,100,0.04
2425,freak,18,5,100,0.18
2426,rock,70,4,100,0.7
2427,joyce,122,5,100,1.22
2428,mystical,41,8,100,0.41
2429,report,15,6,100,0.15
2430,mechanical,54,10,100,0.54
2431,trinity,18,7,100,0.18
2432,element,30,7,100,0.3
2433,searching,18,9,100,0.18
2434,robe,1,4,100,0.01
2435,dominant,23,8,100,0.23
2436,rose,20,4,100,0.2
2437,category,40,8,100,0.4
2438,tenacity,2,8,100,0.02
2439,turmoil,3,7,100,0.03
2440,echoic,1,6,100,0.01
2441,europe,126,6,100,1.26
2442,unintended,1,10,100,0.01
2443,explicitly,7,10,100,0.07
2444,johnny,4,6,100,0.04
2445,road,27,4,100,0.27
2446,ganymede,2,8,100,0.02
2447,rolling,18,7,100,0.18
2448,adjust,3,6,100,0.03
2449,foreseeable,4,11,100,0.04
2450,trading,13,7,100,0.13
2451,marketing,9,9,100,0.09
2452,enormous,158,8,100,1.58
2453,ethical,18,7,100,0.18
2454,loosely,5,7,100,0.05
2455,seizure,7,7,100,0.07
2456,prosperity,2,10,100,0.02
2457,improvement,6,11,100,0.06
2458,unclear,7,7,100,0.07
2459,rooted,14,6,100,0.14
2460,square,28,6,100,0.28
2461,europa,6,6,100,0.06
2462,laughter,565,8,100,5.65
2463,warning,5,7,100,0.05
2464,midst,9,5,100,0.09
2465,dish,5,4,100,0.05
2466,hebrew,16,6,100,0.16
2467,proposition,10,11,100,0.1
2468,sutra,2,5,100,0.02
2469,hindu,22,5,100,0.22
2470,rare,47,4,100,0.47
2471,none,75,4,100,0.75
2472,darkness,90,8,100,0.9
2473,younger,7,7,100,0.07
2474,eye,86,3,100,0.86
2475,manson,1,6,100,0.01
2476,cookbook,1,8,100,0.01
2477,inferno,2,7,100,0.02
2478,momentum,65,8,100,0.65
2479,exciting,24,8,100,0.24
2480,arrangement,12,11,100,0.12
2481,dress,9,5,100,0.09
2482,mere,23,4,100,0.23
2483,acting,34,6,100,0.34
2484,disease,66,7,100,0.66
2485,recourse,6,8,100,0.06
2486,serotonin,36,9,100,0.36
2487,develop,36,7,100,0.36
2488,relevant,13,8,100,0.13
2489,rip,7,3,100,0.07
2490,spiritualization,2,16,100,0.02
2491,indian,41,6,100,0.41
2492,temperance,1,10,100,0.01
2493,daily,24,5,100,0.24
2494,grammar,21,7,100,0.21
2495,schedule,18,8,100,0.18
2496,identification,10,14,100,0.1
2497,sprinkling,1,10,100,0.01
2498,temperature,33,11,100,0.33
2499,feedback,33,8,100,0.33
2500,gnostic,44,7,100,0.44
2501,insidious,13,9,100,0.13
2502,topologically,1,13,100,0.01
2503,appealing,8,9,100,0.08
2504,throat,74,6,100,0.74
2505,structured,12,10,100,0.12
2506,underneath,11,10,100,0.11
2507,ism,5,3,100,0.05
2508,relatively,12,10,100,0.12
2509,selling,13,7,100,0.13
2510,orion,2,5,100,0.02
2511,soul,171,4,100,1.71
2512,inherently,7,10,100,0.07
2513,disney,5,6,100,0.05
2514,thirty,65,6,100,0.65
2515,pregnant,12,8,100,0.12
2516,analogue,3,8,100,0.03
2517,hives,2,5,100,0.02
2518,absolute,55,8,100,0.55
2519,upstream,2,8,100,0.02
2520,burroughs,4,9,100,0.04
2521,significant,18,11,100,0.18
2522,citizen,29,7,100,0.29
2523,chips,3,5,100,0.03
2524,metabolism,45,10,100,0.45
2525,trust,34,5,100,0.34
2526,rates,11,5,100,0.11
2527,vermont,1,7,100,0.01
2528,thousandth,3,10,100,0.03
2529,necessarily,40,11,100,0.4
2530,pouring,20,7,100,0.2
2531,card,12,4,100,0.12
2532,germany,27,7,100,0.27
2533,repetitive,2,10,100,0.02
2534,verifiable,1,10,100,0.01
2535,awhile,9,6,100,0.09
2536,cast,69,4,100,0.69
2537,ordeal,26,6,100,0.26
2538,elusive,12,7,100,0.12
2539,valid,15,5,100,0.15
2540,walking,30,7,100,0.3
2541,assimilate,20,10,100,0.2
2542,pudgy,1,5,100,0.01
2543,continuously,13,12,100,0.13
2544,pursue,20,6,100,0.2
2545,terrestrial,21,11,100,0.21
2546,ragnarok,1,8,100,0.01
2547,transparent,14,11,100,0.14
2548,capitol,7,7,100,0.07
2549,bearable,2,8,100,0.02
2550,formulaic,3,9,100,0.03
2551,methane,5,7,100,0.05
2552,parson,1,6,100,0.01
2553,strength,22,8,100,0.22
2554,unleash,8,7,100,0.08
2555,mourn,1,5,100,0.01
2556,ontario,1,7,100,0.01
2557,adult,7,5,100,0.07
2558,accompaniment,6,13,100,0.06
2559,maya,29,4,100,0.29
2560,myth,104,4,100,1.04
2561,catholic,41,8,100,0.41
2562,originally,28,10,100,0.28
2563,effect,130,6,100,1.3
2564,transmitter,3,11,100,0.03
2565,mortal,4,6,100,0.04
2566,articulate,23,10,100,0.23
2567,cane,3,4,100,0.03
2568,revolution,76,10,100,0.76
2569,ruthlessly,4,10,100,0.04
2570,camp,14,4,100,0.14
2571,craniotomy,1,10,100,0.01
2572,drive,61,5,100,0.61
2573,yogic,9,5,100,0.09
2574,morbidity,1,9,100,0.01
2575,elite,15,5,100,0.15
2576,start,101,5,100,1.01
2577,jungle,63,6,100,0.63
2578,satisfaction,12,12,100,0.12
2579,combination,33,11,100,0.33
2580,dance,92,5,100,0.92
2581,assembly,16,8,100,0.16
2582,inhabit,12,7,100,0.12
2583,emergent,27,8,100,0.27
2584,escape,54,6,100,0.54
2585,foolish,9,7,100,0.09
2586,circumstance,24,12,100,0.24
2587,genuine,13,7,100,0.13
2588,mine,72,4,100,0.72
2589,opposed,29,7,100,0.29
2590,flip,13,4,100,0.13
2591,observation,24,11,100,0.24
2592,quintessence,23,12,100,0.23
2593,havelock,13,8,100,0.13
2594,crying,16,6,100,0.16
2595,geographically,8,14,100,0.08
2596,arrange,10,7,100,0.1
2597,bloody,4,6,100,0.04
